page,source_file,source_dimensions,output_dimensions,jpg_file,webp_file,jpg_bytes,webp_bytes
1,page-000.jpg,1753x1168,3840x2559,project_page_01_4K.jpg,project_page_01_4K.webp,2410193,1001574
2,page-001.jpg,1170x1754,2561x3840,project_page_02_4K.jpg,project_page_02_4K.webp,1516586,486818
3,page-002.jpg,1755x1170,3840x2560,project_page_03_4K.jpg,project_page_03_4K.webp,2823649,1403650
4,page-003.jpg,1755x1170,3840x2560,project_page_04_4K.jpg,project_page_04_4K.webp,2514584,1255510
5,page-004.jpg,1169x1754,2559x3840,project_page_05_4K.jpg,project_page_05_4K.webp,2291673,1114914
6,page-005.jpg,1170x1755,2560x3840,project_page_06_4K.jpg,project_page_06_4K.webp,1569637,511936
7,page-006.jpg,1236x1694,2802x3840,project_page_07_4K.jpg,project_page_07_4K.webp,2119955,894812
8,page-007.jpg,1169x1753,2561x3840,project_page_08_4K.jpg,project_page_08_4K.webp,2239211,1025922
9,page-008.jpg,1169x1754,2559x3840,project_page_09_4K.jpg,project_page_09_4K.webp,2037018,954384
10,page-009.jpg,1170x1754,2561x3840,project_page_10_4K.jpg,project_page_10_4K.webp,2272829,1123066
11,page-010.jpg,1170x1755,2560x3840,project_page_11_4K.jpg,project_page_11_4K.webp,2228413,941814
12,page-011.jpg,1236x1649,2878x3840,project_page_12_4K.jpg,project_page_12_4K.webp,1847814,668704
13,page-012.jpg,1169x1754,2559x3840,project_page_13_4K.jpg,project_page_13_4K.webp,1458296,445368
14,page-013.jpg,1169x1754,2559x3840,project_page_14_4K.jpg,project_page_14_4K.webp,3219063,2197894
15,page-014.jpg,1754x1169,3840x2559,project_page_15_4K.jpg,project_page_15_4K.webp,2270743,959118
16,page-015.jpg,1170x1755,2560x3840,project_page_16_4K.jpg,project_page_16_4K.webp,2533778,1286190
17,page-016.jpg,1169x1754,2559x3840,project_page_17_4K.jpg,project_page_17_4K.webp,2216646,1028566
18,page-017.jpg,1168x1754,2557x3840,project_page_18_4K.jpg,project_page_18_4K.webp,3125954,1708750
19,page-018.jpg,1169x1754,2559x3840,project_page_19_4K.jpg,project_page_19_4K.webp,2951225,1456328
20,page-019.jpg,1171x1755,2562x3840,project_page_20_4K.jpg,project_page_20_4K.webp,2364056,1030094
