page,source_type,source_width,source_height,output_width,output_height,jpg_file,jpg_size_bytes,webp_file,webp_size_bytes
1,jpeg,1756,1181,3840,2583,JPG_4K/70_2_page_01_4K.jpg,2169819,WEBP_4K_Website/70_2_page_01_4K.webp,791360
2,jpeg,1170,1756,2559,3840,JPG_4K/70_2_page_02_4K.jpg,2163100,WEBP_4K_Website/70_2_page_02_4K.webp,767084
3,jpeg,1187,1754,2599,3840,JPG_4K/70_2_page_03_4K.jpg,1873191,WEBP_4K_Website/70_2_page_03_4K.webp,647972
4,jpeg,1238,1742,2729,3840,JPG_4K/70_2_page_04_4K.jpg,2035372,WEBP_4K_Website/70_2_page_04_4K.webp,703576
5,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_05_4K.jpg,1973185,WEBP_4K_Website/70_2_page_05_4K.webp,743458
6,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_06_4K.jpg,2100826,WEBP_4K_Website/70_2_page_06_4K.webp,769382
7,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_07_4K.jpg,1786642,WEBP_4K_Website/70_2_page_07_4K.webp,626234
8,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_08_4K.jpg,1763345,WEBP_4K_Website/70_2_page_08_4K.webp,607490
9,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_09_4K.jpg,1680665,WEBP_4K_Website/70_2_page_09_4K.webp,541544
10,png,1170,1755,2560,3840,JPG_4K/70_2_page_10_4K.jpg,1636010,WEBP_4K_Website/70_2_page_10_4K.webp,418640
11,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_11_4K.jpg,1958972,WEBP_4K_Website/70_2_page_11_4K.webp,575774
12,jpeg,1170,1755,2560,3840,JPG_4K/70_2_page_12_4K.jpg,2116087,WEBP_4K_Website/70_2_page_12_4K.webp,763922
13,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_13_4K.jpg,1946139,WEBP_4K_Website/70_2_page_13_4K.webp,786026
14,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_14_4K.jpg,2353037,WEBP_4K_Website/70_2_page_14_4K.webp,863294
15,png,1175,1754,2572,3840,JPG_4K/70_2_page_15_4K.jpg,1773983,WEBP_4K_Website/70_2_page_15_4K.webp,499906
16,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_16_4K.jpg,2956210,WEBP_4K_Website/70_2_page_16_4K.webp,1343402
17,jpeg,1170,1756,2559,3840,JPG_4K/70_2_page_17_4K.jpg,2305832,WEBP_4K_Website/70_2_page_17_4K.webp,888770
18,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_18_4K.jpg,1863808,WEBP_4K_Website/70_2_page_18_4K.webp,632408
19,jpeg,1169,1754,2559,3840,JPG_4K/70_2_page_19_4K.jpg,2381927,WEBP_4K_Website/70_2_page_19_4K.webp,881678
20,png,1169,1754,2559,3840,JPG_4K/70_2_page_20_4K.jpg,1285817,WEBP_4K_Website/70_2_page_20_4K.webp,315406
21,jpeg,1170,1755,2560,3840,JPG_4K/70_2_page_21_4K.jpg,1651554,WEBP_4K_Website/70_2_page_21_4K.webp,520846
